Adduct,Size,Sequence,Polymerase,Outcome
1,12,14,10,2
1,9,13,11,2
1,11,12,11,2
1,6,11,16,2
1,14,13,9,2
1,13,13,9,2
1,8,11,13,2
1,6,12,14,2
1,5,11,18,2
1,13,14,9,2
1,10,11,17,2
1,10,12,12,2
1,9,12,14,2
1,10,11,15,2
1,8,11,14,2
1,12,11,13,1
1,12,13,13,2
1,6,11,18,2
1,6,11,19,2
1,14,12,13,2
1,7,11,14,2
1,11,13,11,2
1,8,11,13,2
1,14,13,6,2
1,12,13,14,2
1,12,10,7,1
1,14,13,8,1
1,11,11,17,2
1,5,12,15,2
1,14,12,9,1
1,10,14,6,2
1,6,11,15,2
1,5,11,15,2
1,8,11,13,2
1,11,15,4,2
1,14,13,10,1
1,10,11,6,2
1,11,12,10,2
1,14,13,7,2
1,13,13,11,2
1,8,11,14,2
1,14,12,15,2
1,13,12,14,2
1,15,12,11,1
1,11,13,10,2
1,9,11,19,2
1,10,15,8,2
1,10,13,12,2
1,13,14,4,2
2,11,13,14,2
2,7,21,13,2
2,4,15,16,2
2,14,12,16,2
2,14,14,12,1
2,14,13,16,2
2,13,13,16,2
2,14,14,11,1
2,13,15,5,2
2,3,12,16,2
2,14,12,19,2
2,14,13,17,2
2,14,13,10,1
2,14,14,11,1
2,14,12,19,2
2,16,10,18,2
2,6,10,24,2
2,14,12,17,2
2,14,13,16,2
2,10,20,3,2
2,4,16,16,2
2,10,14,13,2
2,8,11,19,2
2,3,13,17,2
2,13,14,3,2
2,14,13,14,1
2,13,14,1,2
3,6,11,19,2
3,10,11,16,2
3,13,15,3,2
3,8,11,16,2
3,14,11,20,2
3,13,12,18,2
3,7,13,14,2
3,14,14,12,1
3,7,15,13,2
3,12,15,12,2
3,14,14,2,2
3,9,15,12,2
3,4,11,18,2
3,13,12,18,2
3,13,15,3,2
3,8,11,16,2
3,10,19,5,2
3,10,13,13,2
3,15,12,14,2
3,14,12,18,2
3,14,13,16,1
3,13,14,1,2
3,16,10,15,2
3,15,12,4,1
3,5,11,16,2
3,14,14,2,2
3,3,11,20,2
3,14,13,14,1
4,13,16,9,2
4,14,14,1,2
4,14,14,14,1
4,12,15,14,1
4,13,16,11,2
4,13,13,18,1
4,10,11,19,2
4,14,13,11,1
4,14,11,18,2
4,14,14,15,1
4,13,15,3,2
4,14,14,3,2
4,15,9,22,2
4,6,11,17,2
4,13,15,6,2
4,11,15,11,2
4,4,12,17,2
4,13,12,22,2
4,12,12,19,2
4,14,11,23,2
4,11,13,16,1
4,14,14,13,1
4,1,14,18,2
4,7,16,10,2
4,15,13,3,1
4,13,11,21,2
4,3,11,27,2
4,13,15,1,2
5,3,12,18,2
5,15,10,26,2
5,10,11,19,2
5,1,11,18,2
5,18,9,13,2
5,13,15,2,2
5,1,13,22,2
5,1,11,27,2
5,1,18,19,2
5,1,11,20,2
5,17,9,18,2
5,3,26,16,2
5,15,11,19,2
5,5,15,15,2
5,7,19,14,2
5,13,15,3,2
5,14,14,3,2
5,14,14,12,1
5,6,14,15,2
5,1,18,18,2
5,10,16,4,2
5,11,12,27,2
5,12,12,20,2
5,14,14,12,1
5,12,14,1,2
5,16,10,20,2
5,15,12,9,1
5,15,11,18,2
6,15,9,29,2
6,10,12,18,1
6,14,14,1,2
6,4,16,17,2
6,14,13,9,1
6,15,11,26,2
6,6,20,14,2
6,2,12,18,2
6,8,12,16,1
6,1,15,19,2
6,1,15,20,2
6,1,16,22,2
6,4,16,17,2
6,14,15,14,1
6,16,9,29,2
6,17,10,4,1
6,13,11,26,2
6,12,10,34,2
6,9,19,1,2
6,2,11,19,2
6,12,13,19,1
6,14,14,4,1
6,11,10,33,2
6,3,19,17,2
6,15,10,21,2
6,6,15,15,2
6,7,19,14,2
7,10,12,18,1
7,7,11,18,2
7,14,14,3,2
7,10,11,21,2
7,4,18,17,2
7,13,18,12,2
7,13,13,20,1
7,4,22,16,2
7,10,15,1,2
7,6,12,23,2
7,1,12,26,2
7,14,14,1,2
7,1,16,22,2
7,1,18,25,2
7,9,12,32,2
7,8,13,16,1
7,14,17,12,1
7,14,14,1,2
7,10,15,1,2
7,12,12,30,2
7,6,24,13,2
7,12,15,1,2
7,1,11,32,2
7,11,17,2,2
7,4,20,16,2
7,2,11,33,2
7,13,17,5,2
7,15,10,31,2
7,14,12,5,1
7,15,12,10,1
7,14,15,2,2
7,1,23,21,2
7,13,18,7,2
7,8,21,13,2
7,11,11,22,2
7,4,33,15,2
8,14,15,15,1
8,13,16,4,2
8,14,15,14,1
8,3,23,18,2
8,11,12,33,2
8,3,34,16,2
8,1,31,19,2
8,16,10,27,2
8,8,19,2,2
8,1,31,19,2
8,2,14,17,2
8,8,26,12,2
8,13,17,4,2
8,1,12,30,2
8,1,13,27,2
8,2,27,18,2
8,16,9,29,2
8,13,12,26,2
8,16,12,4,1
8,2,12,18,2
8,14,14,7,1
8,1,14,19,2
8,14,12,10,1
8,1,17,18,2
8,15,12,6,1
8,13,8,35,2
8,3,35,15,2
8,6,18,15,2
8,14,13,4,1
8,13,16,16,1
8,12,12,29,2
8,10,16,1,2
8,8,21,14,2
9,8,15,1,2
9,3,21,17,2
9,14,16,12,1
9,14,14,5,1
9,14,13,15,1
9,18,8,22,2
9,13,14,19,1
9,4,10,37,2
9,4,12,33,2
9,14,12,11,1
9,12,19,14,2
9,1,32,19,2
9,15,11,21,2
9,9,14,1,2
9,3,10,36,2
9,1,13,28,2
9,15,3,23,1
9,7,10,17,1
9,12,17,3,2
9,15,10,31,2
9,17,8,22,2
9,1,4,31,2
9,1,17,29,2
9,9,23,11,2
9,12,20,12,2
9,11,16,3,2
9,11,16,17,1
9,10,14,1,2
9,5,37,12,2
9,9,11,18,1
9,1,18,19,2
9,14,13,9,1
9,8,15,1,2
9,1,19,28,2
10,14,12,11,1
10,9,9,38,2
10,9,12,21,1
10,1,30,24,2
10,6,12,2,2
10,14,13,16,1
10,13,20,13,2
10,3,38,16,2
10,14,11,12,1
10,11,13,27,2
10,8,12,36,2
10,1,14,32,2
10,7,21,3,2
10,18,7,29,2
10,5,22,16,2
10,15,11,14,2
10,11,13,30,2
10,13,14,20,1
10,9,21,14,2
10,7,11,17,1
10,13,16,18,1
10,5,11,2,2
10,6,12,35,2
10,13,10,29,2
10,14,14,10,1
10,5,11,2,2
10,6,11,15,1
10,10,15,1,2
10,11,13,1,2
10,11,21,14,2
10,7,11,14,1
10,5,11,36,2
10,7,22,1,2
11,13,21,14,2
11,7,14,15,1
11,4,14,34,2
11,14,14,1,2
11,3,9,33,2
11,6,11,2,2
11,17,9,12,2
11,6,12,1,2
11,6,13,5,2
11,1,32,20,2
11,13,21,14,2
11,6,11,37,2
11,6,14,1,2
11,14,13,5,1
11,14,11,13,1
11,5,11,2,2
11,5,17,3,2
11,13,12,21,1
11,1,4,31,2
11,14,16,15,1
11,7,10,13,1
11,6,12,6,1
11,19,5,19,2
11,1,3,29,2
11,5,13,3,2
11,12,11,36,2
11,5,12,3,2
11,6,12,1,2
11,4,37,8,2
11,13,15,4,2
11,6,16,1,2
11,14,15,12,1
11,7,9,38,2
11,13,16,6,2
11,7,15,8,2
11,3,15,28,2
11,8,12,37,2
11,3,15,17,1
11,10,12,37,2
11,6,11,37,2
11,13,16,17,1
11,13,20,10,2
11,5,11,1,2
11,8,8,39,2
11,8,13,35,2
11,18,8,26,2
11,12,15,1,2
11,5,11,3,2
11,9,25,8,2
12,12,14,1,2
12,9,11,37,2
12,6,22,17,2
12,14,11,14,1
12,9,22,14,2
12,14,11,13,1
12,13,12,12,1
12,14,13,32,2
12,13,21,15,2
12,6,12,1,2
12,14,12,18,1
12,9,25,13,2
12,9,19,6,2
12,15,10,9,1
12,10,11,17,1
12,7,32,11,2
12,6,12,1,2
12,11,23,14,2
12,10,11,15,1
12,7,29,14,2
12,7,13,36,2
12,9,6,40,2
12,16,3,14,1
12,8,13,4,2
12,6,28,6,2
12,15,11,21,2
12,8,23,15,2
12,10,23,12,2
12,4,20,2,2
12,9,24,12,2
12,1,33,22,2
12,6,35,11,2
12,6,31,10,2
12,10,24,13,2
12,14,12,14,1
12,2,16,24,2
12,4,41,14,2
12,6,11,3,2
12,6,12,1,2
12,8,13,1,2
12,1,40,20,2
12,1,39,19,2
12,10,12,37,2
12,11,14,1,2
12,1,36,18,2
12,14,11,11,1
12,6,23,7,2
12,9,27,13,2
13,5,10,5,2
13,8,12,1,2
13,13,12,17,1
13,1,20,25,2
13,3,24,4,2
13,7,23,11,2
13,8,13,1,2
13,8,13,37,2
13,2,42,14,2
13,6,11,8,2
13,6,11,8,2
13,11,23,13,2
13,14,11,13,1
13,4,14,2,2
13,8,11,1,2
13,9,11,15,1
13,12,18,10,2
13,3,19,2,2
13,6,12,16,2
13,3,15,35,2
13,11,13,16,2
13,5,12,3,2
13,13,13,11,1
13,9,12,38,2
13,12,20,8,2
13,5,13,6,2
13,8,12,1,2
13,4,27,5,2
13,6,35,13,2
13,11,12,17,1
13,7,30,12,2
13,16,9,13,2
13,8,14,5,2
13,19,7,22,2
13,3,43,12,2
13,9,13,1,2
13,9,4,41,2
13,13,7,39,2
13,4,12,4,2
13,19,6,11,2
13,6,11,4,2
13,11,17,15,2
13,1,42,18,2
13,4,29,4,2
13,6,12,1,2
13,5,11,1,2
13,19,10,2,1
13,12,20,8,2
13,1,18,26,2
13,1,33,21,2
13,13,12,11,1
13,14,13,32,1
13,6,10,38,2
13,14,11,14,1
13,14,11,8,1
14,1,26,28,2
14,14,11,12,1
14,18,7,11,2
14,1,33,22,2
14,8,10,1,2
14,4,43,16,2
14,7,12,7,2
14,15,14,1,2
14,13,14,2,2
14,10,12,1,2
