Adduct Code,Size Code,Sequence Code,Polymerase Code,Outcome Code
1,8,11,16,1
1,8,11,13,2
1,8,11,16,1
2,14,14,13,2
2,14,14,16,1
2,14,14,19,1
2,14,14,2,2
2,14,11,19,2
3,14,11,19,2
4,14,11,19,2
5,1,11,19,2
6,3,11,19,2
7,10,11,19,2
8,7,11,19,2
9,14,13,13,1
9,14,13,16,1
9,14,13,20,1
9,14,16,13,1
9,14,16,16,1
9,14,16,20,1
10,6,11,4,2
10,6,11,6,1
11,5,14,1,2
11,5,10,1,2
12,9,25,12,2
12,9,24,12,2
13,12,11,17,1
13,12,11,13,2
14,14,10,10,2
14,14,11,10,1
14,14,13,35,1
14,14,13,19,1
14,14,13,36,1
15,13,23,13,1
15,13,23,16,2
16,2,46,13,2
16,2,46,16,2
16,2,46,19,2
17,8,9,13,2
17,8,5,13,1
18,11,12,13,2
18,11,12,16,2
18,11,12,12,1
18,11,12,19,2
19,4,9,16,1
19,4,9,13,2
19,4,11,14,1
19,4,11,16,2
10,6,11,37,2
10,6,11,13,1
10,6,11,16,1
20,15,14,1,1
21,18,14,13,2
21,18,4,13,2
21,18,9,13,2
23,17,16,39,2
23,17,16,13,2
23,17,16,16,2
23,17,16,19,2
23,17,16,38,2
23,17,16,35,2
23,17,16,12,2
24,16,14,13,1
24,16,14,16,1
25,16,14,13,1
25,16,14,16,1
22,19,7,40,2
22,19,7,41,2
22,19,7,13,2
22,19,7,42,2
22,19,3,40,2
22,19,4,40,2
22,19,4,41,2
22,19,9,2,1
22,19,12,18,2
22,19,12,38,2
22,19,8,18,2
22,19,13,18,2
22,19,14,18,2
22,19,15,18,2
22,19,16,18,2
