Adduct Code,Size Code,Sequence Code,Polymerase Code,Outcome Code
20,15,18,21,2
17,14,16,23,2
19,15,15,23,1
15,15,20,24,2
20,16,15,23,2
19,14,17,23,1
20,14,19,22,1
18,14,16,21,1
20,15,18,22,1
18,15,16,20,1
20,16,16,24,2
17,15,16,20,2
18,15,16,22,2
18,15,20,23,2
19,16,17,23,2
17,14,16,26,2
20,16,16,20,2
17,17,16,24,1
21,16,18,23,1
19,15,15,26,1
18,15,18,18,1
20,14,17,26,1
18,16,19,20,2
19,14,14,23,2
17,15,18,24,2
20,16,14,23,1
20,15,15,25,2
20,16,20,19,1
18,16,16,24,1
20,13,18,21,1
16,15,19,24,1
18,14,17,23,2
16,16,16,19,2
17,15,16,20,2
16,14,15,21,1
18,15,16,21,1
16,17,16,23,2
20,16,14,21,1
19,15,16,23,1
21,16,17,24,1
19,15,18,23,2
18,14,17,21,1
17,15,16,21,1
19,14,19,24,1
21,16,17,22,2
19,15,18,23,1
18,15,18,23,2
15,15,18,24,2
17,14,15,25,2
16,15,16,22,2
17,16,18,23,2
17,17,18,20,1
18,17,16,23,2
18,17,18,21,1
20,17,16,20,1
18,15,17,22,2
18,16,18,23,2
16,14,18,27,1
17,14,18,22,1
17,14,19,24,2
18,16,15,26,2
19,14,18,22,2
19,16,19,19,1
20,16,18,25,2
20,15,18,24,1
20,16,17,23,2
19,15,14,23,1
18,16,17,21,1
18,15,17,21,1
16,15,16,26,1
17,16,18,24,1
17,15,16,20,2
17,16,15,22,1
19,16,19,25,2
18,15,18,20,2
17,13,18,21,2
20,14,19,24,1
17,16,17,19,1
19,14,17,19,1
19,15,15,26,1
19,16,18,24,1
20,16,15,20,2
17,14,17,24,2
16,15,18,22,1
18,15,18,23,1
18,16,17,21,1
19,15,16,23,1
17,16,17,24,2
19,17,18,20,2
19,17,16,26,1
17,14,18,23,2
19,15,17,22,1
15,15,19,23,1
20,15,19,25,2
21,16,14,24,1
20,15,16,24,1
18,15,18,24,2
20,16,18,25,1
18,17,18,21,1
18,14,16,22,1
17,16,17,24,1
19,15,15,24,1
19,15,19,21,1
19,14,17,25,1
17,15,18,26,1
17,14,18,21,1
17,16,18,22,1
18,17,16,22,1
17,16,17,20,1
17,14,17,22,1
18,14,17,24,2
20,15,16,26,1
16,13,18,26,2
18,15,20,23,1
15,14,19,22,2
17,14,17,25,2
16,17,16,23,2
21,15,17,26,1
18,13,19,21,2
16,15,16,23,2
21,17,18,22,1
19,14,15,23,2
17,14,16,24,2
19,16,19,23,2
17,16,17,21,2
19,16,19,25,2
19,16,20,24,2
18,16,15,23,1
20,14,18,21,2
18,15,14,23,2
17,16,15,25,2
20,14,15,22,1
18,14,17,22,1
17,15,16,24,2
18,15,16,20,1
21,15,17,20,1
18,13,15,25,2
18,17,19,24,2
21,14,19,23,2
18,15,19,25,2
21,14,14,24,1
17,14,17,22,2
16,15,18,19,2
17,16,18,24,2
18,15,15,21,2
20,16,19,22,1
21,15,17,21,1
19,14,18,23,2
16,14,15,20,2
17,15,18,21,1
15,16,18,20,1
21,13,19,25,1
19,13,16,25,1
20,15,16,21,1
16,17,17,22,2
21,13,18,26,2
18,16,18,24,1
20,14,17,25,1
19,15,18,23,2
20,16,16,19,2
20,15,19,21,2
20,14,18,25,2
19,14,18,24,1
20,17,19,22,1
19,15,16,25,2
18,16,16,24,1
17,16,18,23,1
20,13,18,24,1
18,15,16,26,1
17,14,16,20,2
19,15,16,20,2
15,16,19,21,1
20,16,18,24,1
18,16,17,22,1
20,16,16,25,2
20,14,18,21,1
20,15,19,24,1
19,14,15,22,1
19,16,15,23,1
16,14,19,21,2
18,14,18,21,2
19,15,17,22,1
18,15,16,20,2
18,16,15,19,1
20,14,18,23,2
18,14,18,23,2
19,15,18,26,2
18,15,15,22,1
18,15,17,22,2
19,15,15,24,2
18,15,16,20,1
19,16,16,23,2
18,16,17,21,1
20,14,16,22,1
18,15,18,25,2
21,16,16,23,1
21,15,16,23,2
18,15,15,19,2
18,14,20,21,2
18,15,16,25,2
16,16,15,25,2
17,17,19,23,2
21,15,16,23,1
18,14,16,19,2
16,14,16,24,2
19,17,18,22,1
20,14,16,20,1
17,14,18,24,2
21,15,15,21,1
16,16,16,23,2
18,15,18,24,2
18,14,18,21,2
19,15,15,21,1
19,14,18,26,1
19,15,14,24,2
17,14,18,23,1
16,17,19,20,2
20,17,15,25,2
18,17,19,23,1
19,17,18,19,2
16,15,18,19,2
17,15,20,22,2
16,15,19,23,2
21,16,17,23,2
17,15,15,19,1
20,16,16,21,1
17,15,15,21,2
19,17,16,22,1
16,16,19,22,2
18,15,19,25,1
16,17,16,22,1
16,15,15,23,2
18,15,17,22,2
20,13,15,21,2
19,15,17,19,1
19,15,15,22,1
17,14,19,21,1
18,14,17,25,1
19,14,17,20,1
15,15,17,26,2
18,15,16,25,2
18,15,15,25,2
18,13,17,21,2
20,15,20,21,1
20,16,19,20,1
18,14,18,25,2
18,16,17,22,1
18,16,20,23,2
20,16,18,23,1
19,16,17,24,1
15,15,15,22,1
17,15,17,20,2
18,13,17,21,2
17,15,18,23,2
19,17,16,22,2
20,16,16,19,2
19,16,17,24,1
18,16,17,20,1
17,16,17,19,1
19,16,16,26,1
