Polymerase,AP Site,Size,Sequence,Outcome
5,5,1,75,2
7,5,1,75,1
7,5,1,77,1
8,5,1,76,1
8,5,1,73,1
8,5,1,69,1
8,5,1,66,1
30,5,1,74,1
18,5,1,67,2
9,5,1,67,2
14,5,1,81,2
15,5,1,73,1
22,5,1,70,1
22,5,1,66,1
22,5,1,71,1
22,5,1,78,1
23,5,1,70,1
23,5,1,66,1
23,5,1,71,1
23,5,1,78,1
21,5,1,,1
27,5,1,80,1
28,5,1,80,1
29,5,1,80,1
27,2,3,80,1
28,2,3,80,1
29,2,3,80,1
31,1,2,,1
25,4,2,65,2
25,2,3,65,2
13,2,3,74,2
26,2,3,67,1
26,3,2,67,1
13,6,4,68,1
13,6,4,72,1
13,7,5,68,1
13,7,5,72,1
24,6,4,68,1
24,5,1,68,1
13,7,5,72,1
11,7,5,72,1
9,7,5,72,1
