Adduct Code,Family code,Size Code,Size Family code,Sequence Code,Sequence Family code,Polymerase Code,Polymerase Family code,Outcome Code
15,F2,13,Z18,14,S22,20,P2,1
15,F2,13,Z4,21,S3,18,P4,1
17,F3,13,Z18,14,S21,28,P2,2
22,F3,18,Z18,15,S21,18,P20,2
20,F2,14,Z18,14,S22,18,P21,1
15,F2,13,Z4,21,S23,18,P4,1
17,F3,13,Z18,14,S4,28,P2,1
15,F2,13,Z18,14,S3,28,P2,2
15,F2,13,Z4,21,S21,18,P4,1
15,F2,13,Z4,21,S22,18,P4,2
15,F2,13,Z18,14,S21,24,P2,2
15,F2,13,Z4,15,S4,21,P20,1
22,F3,18,Z18,14,S3,18,P21,1
22,F3,18,Z18,14,S4,27,P2,2
21,F3,18,Z18,14,S22,18,P21,1
22,F3,18,Z18,15,S3,24,P2,2
20,F3,16,Z18,14,S24,18,P2,1
15,F2,13,Z18,14,S21,19,P20,1
16,F2,14,Z18,14,S21,19,P21,1
15,F2,14,Z18,14,S22,24,P2,1
16,F2,13,Z18,14,S23,26,P2,1
15,F2,13,Z18,14,S23,28,P2,1
15,F2,13,Z18,14,S4,28,P2,1
20,F3,17,Z18,14,S24,27,P2,2
22,F3,18,Z18,14,S24,18,P21,2
16,F2,13,Z18,14,S21,18,P2,2
22,F3,17,Z18,15,S4,28,P2,1
15,F2,13,Z18,14,S3,19,P2,1
15,F2,13,Z2,14,S21,19,P2,2
15,F2,13,Z4,21,S21,18,P4,1
22,F3,18,Z18,14,S3,21,P2,1
15,F2,13,Z4,21,S21,18,P4,1
15,F2,13,Z18,14,S3,28,P2,1
22,F3,18,Z18,14,S23,25,P2,2
22,F3,18,Z18,14,S24,19,P20,1
15,F2,13,Z4,16,S3,18,P4,2
15,F2,13,Z19,15,S4,19,P2,2
22,F3,18,Z18,14,S4,28,P2,1
15,F2,13,Z18,15,S3,28,P2,1
15,F2,15,Z18,14,S21,18,P4,2
19,F2,13,Z18,14,S4,19,P2,2
15,F2,15,Z2,15,S21,18,P4,1
